SYSTEM;RELEASE;CLASS;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC;key_class
lucene;6.2.0;org.apache.lucene.util.AttributeFactory$StaticImplementationAttributeFactory;5.0;0.0;0.0;2.0;11.0;0.0;0.0;2.0;4.0;0.25;71.0;1.0;0.0;0.0;0.45;0.0;0.0;12.8;0.0
lucene;6.2.0;org.apache.lucene.util.AttributeFactory;7.0;1.0;0.0;3.0;19.0;19.0;0.0;3.0;3.0;0.75;64.0;0.75;1.0;0.0;0.3333;0.0;0.0;7.5714;0.0
lucene;6.2.0;org.apache.lucene.util.AttributeReflector;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
lucene;6.2.0;org.apache.lucene.util.AttributeSource$1;5.0;1.0;0.0;3.0;7.0;4.0;0.0;3.0;4.0;0.75;53.0;0.3333;0.0;0.0;0.4667;0.0;0.0;9.0;0.0
lucene;6.2.0;org.apache.lucene.util.AttributeSource$2;3.0;2.0;0.0;0.0;11.0;3.0;0.0;0.0;0.0;2.0;58.0;0.0;0.0;0.875;0.8333;1.0;1.0;18.3333;0.0
lucene;6.2.0;org.apache.lucene.util.AttributeSource$3;2.0;1.0;0.0;2.0;8.0;0.0;0.0;2.0;1.0;0.3333;51.0;0.0;0.0;0.0;0.5714;0.0;0.0;23.0;0.0
lucene;6.2.0;org.apache.lucene.util.AttributeSource$State;3.0;1.0;0.0;1.0;4.0;3.0;0.0;1.0;3.0;0.5;30.0;0.0;1.0;0.0;1.0;0.0;0.0;8.3333;0.0
lucene;6.2.0;org.apache.lucene.util.AttributeSource;26.0;1.0;0.0;8.0;73.0;173.0;0.0;8.0;23.0;0.552;601.0;1.0;0.0;0.0;0.16;1.0;1.0;21.9231;0.0
lucene;6.2.0;org.apache.lucene.util.automaton.Automata;22.0;1.0;0.0;6.0;65.0;219.0;0.0;6.0;15.0;0.8571;1174.0;0.0;0.0;0.0;0.1746;0.0;0.0;52.3182;0.0
lucene;6.2.0;org.apache.lucene.util.automaton.Automaton$1;4.0;0.0;0.0;2.0;6.0;0.0;0.0;2.0;0.0;0.0;147.0;0.0;0.0;0.0;0.6667;0.0;0.0;35.5;0.0
lucene;6.2.0;org.apache.lucene.util.automaton.Automaton$2;4.0;0.0;0.0;2.0;6.0;0.0;0.0;2.0;0.0;0.0;147.0;0.0;0.0;0.0;0.6667;0.0;0.0;35.5;0.0
lucene;6.2.0;org.apache.lucene.util.automaton.Automaton$Builder$1;4.0;0.0;0.0;2.0;6.0;0.0;0.0;2.0;0.0;0.0;181.0;0.0;0.0;0.0;0.6667;0.0;0.0;44.0;0.0
lucene;6.2.0;org.apache.lucene.util.automaton.Automaton$Builder;13.0;1.0;0.0;5.0;35.0;42.0;0.0;5.0;12.0;0.5333;351.0;1.0;0.0;0.0;0.3385;0.0;0.0;25.6154;0.0
lucene;6.2.0;org.apache.lucene.util.automaton.Automaton;30.0;1.0;0.0;7.0;65.0;135.0;0.0;7.0;21.0;0.669;1609.0;0.9;0.0;0.0;0.2644;0.0;0.0;52.3;0.0
lucene;6.2.0;org.apache.lucene.util.automaton.AutomatonProvider;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
lucene;6.2.0;org.apache.lucene.search.AutomatonQuery;8.0;0.0;0.0;7.0;26.0;6.0;0.0;7.0;7.0;0.4762;175.0;1.0;0.0;0.0;0.2917;0.0;0.0;20.5;0.0
lucene;6.2.0;org.apache.lucene.index.AutomatonTermsEnum;8.0;0.0;0.0;11.0;45.0;0.0;0.0;11.0;1.0;0.5119;641.0;0.9167;0.0;0.0;0.4;0.0;0.0;77.625;0.0
lucene;6.2.0;org.apache.lucene.index.BaseCompositeReader;13.0;0.0;0.0;9.0;38.0;0.0;0.0;9.0;9.0;0.7;389.0;1.0;0.0;0.0;0.3077;0.0;0.0;28.5385;0.0
lucene;6.2.0;org.apache.lucene.store.BaseDirectory;4.0;0.0;0.0;4.0;13.0;0.0;0.0;4.0;2.0;0.5;50.0;1.0;0.0;0.0;0.5;0.0;0.0;11.0;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BasicModel;4.0;1.0;0.0;2.0;13.0;6.0;0.0;2.0;4.0;2.0;45.0;0.0;0.0;0.0;0.6667;0.0;0.0;10.25;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BasicModelBE;4.0;0.0;0.0;3.0;8.0;6.0;0.0;3.0;3.0;2.0;73.0;0.0;0.0;0.0;0.4375;0.0;0.0;17.25;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BasicModelD;3.0;0.0;0.0;3.0;7.0;3.0;0.0;3.0;3.0;2.0;67.0;0.0;0.0;0.0;0.5556;0.0;0.0;21.3333;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BasicModelG;3.0;0.0;0.0;3.0;7.0;3.0;0.0;3.0;3.0;2.0;40.0;0.0;0.0;0.0;0.5556;0.0;0.0;12.3333;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BasicModelIF;3.0;0.0;0.0;3.0;7.0;3.0;0.0;3.0;3.0;2.0;30.0;0.0;0.0;0.0;0.5556;0.0;0.0;9.0;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BasicModelIn;4.0;0.0;0.0;4.0;14.0;6.0;0.0;4.0;4.0;2.0;67.0;0.0;0.0;0.0;0.6667;0.0;0.0;15.75;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BasicModelIne;3.0;0.0;0.0;3.0;8.0;3.0;0.0;3.0;3.0;2.0;43.0;0.0;0.0;0.0;0.5556;0.0;0.0;13.3333;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BasicModelP;4.0;0.0;0.0;3.0;8.0;4.0;0.0;3.0;3.0;0.6667;57.0;1.0;0.0;0.0;0.5556;0.0;0.0;13.0;0.0
lucene;6.2.0;org.apache.lucene.search.similarities.BasicStats;15.0;0.0;0.0;1.0;16.0;89.0;0.0;1.0;14.0;0.9082;84.0;0.8571;0.0;0.0;0.3667;0.0;0.0;4.1333;0.0
lucene;6.2.0;org.apache.lucene.index.BinaryDocValues;2.0;1.0;0.0;1.0;3.0;1.0;0.0;1.0;1.0;2.0;5.0;0.0;0.0;0.0;0.75;0.0;0.0;1.5;0.0
lucene;6.2.0;org.apache.lucene.document.BinaryDocValuesField;2.0;0.0;0.0;4.0;6.0;0.0;0.0;4.0;1.0;0.0;21.0;0.0;0.0;0.0;1.0;0.0;0.0;9.0;0.0
lucene;6.2.0;org.apache.lucene.index.BinaryDocValuesFieldUpdates$1;3.0;0.0;0.0;4.0;8.0;0.0;0.0;4.0;0.0;0.5;107.0;0.0;0.0;0.0;0.5333;0.0;0.0;33.3333;0.0
lucene;6.2.0;org.apache.lucene.index.BinaryDocValuesFieldUpdates$Iterator;6.0;0.0;0.0;4.0;9.0;0.0;0.0;4.0;0.0;0.6444;144.0;1.0;0.0;0.0;0.3333;0.0;0.0;21.5;0.0
lucene;6.2.0;org.apache.lucene.index.BinaryDocValuesFieldUpdates;7.0;0.0;0.0;11.0;33.0;0.0;0.0;11.0;7.0;0.2778;364.0;1.0;0.0;0.0;0.3429;0.0;0.0;50.1429;0.0
lucene;6.2.0;org.apache.lucene.index.BinaryDocValuesWriter$1;2.0;1.0;0.0;3.0;4.0;0.0;0.0;3.0;1.0;0.0;27.0;0.0;0.0;0.0;0.625;0.0;0.0;11.0;0.0
lucene;6.2.0;org.apache.lucene.index.BinaryDocValuesWriter$BytesIterator;5.0;1.0;0.0;10.0;23.0;4.0;0.0;10.0;4.0;0.4643;126.0;0.0;0.0;0.0;0.4;0.0;0.0;22.8;0.0
lucene;6.2.0;org.apache.lucene.index.BinaryDocValuesWriter;10.0;0.0;0.0;17.0;35.0;7.0;0.0;17.0;4.0;0.7889;244.0;1.0;0.0;0.0;0.2222;0.0;0.0;22.4;0.0
lucene;6.2.0;org.apache.lucene.document.BinaryPoint$1;3.0;0.0;0.0;1.0;11.0;1.0;0.0;1.0;0.0;0.5;65.0;0.0;0.0;0.0;0.875;0.0;0.0;20.3333;0.0
lucene;6.2.0;org.apache.lucene.document.BinaryPoint$2;3.0;1.0;0.0;1.0;5.0;3.0;0.0;1.0;2.0;2.0;21.0;0.0;0.0;0.0;0.5556;0.0;0.0;6.0;0.0
lucene;6.2.0;org.apache.lucene.document.BinaryPoint$3;2.0;0.0;0.0;2.0;3.0;0.0;0.0;2.0;1.0;0.3333;39.0;0.0;0.0;0.0;0.6667;0.0;0.0;17.0;0.0
lucene;6.2.0;org.apache.lucene.document.BinaryPoint$4;2.0;0.0;0.0;3.0;5.0;1.0;0.0;3.0;0.0;2.0;15.0;0.0;0.0;0.0;0.6;0.0;0.0;6.5;0.0
lucene;6.2.0;org.apache.lucene.document.BinaryPoint;9.0;0.0;0.0;12.0;31.0;36.0;0.0;12.0;6.0;2.0;377.0;0.0;0.0;0.0;0.3333;0.0;0.0;40.8889;0.0
lucene;6.2.0;org.apache.lucene.util.BitDocIdSet;8.0;0.0;0.0;6.0;20.0;6.0;0.0;6.0;7.0;0.5238;88.0;1.0;0.0;0.0;0.4762;0.0;0.0;9.625;0.0
lucene;6.2.0;org.apache.lucene.util.Bits$MatchAllBits;3.0;1.0;0.0;1.0;4.0;1.0;0.0;1.0;3.0;0.5;15.0;0.0;0.0;0.0;0.8333;0.0;0.0;3.6667;0.0
